time:3.9300103187561035, length:1.1360392043662448, ratio:0.16370149253731342
time:2.9206809997558594, length:0.691701508281228, ratio:0.15343283582089554
time:4.905626535415649, length:1.573941333467897, ratio:0.20017910447761195
time:5.29634165763855, length:1.3872277313210244, ratio:0.18167164179104478
time:2.9680161476135254, length:0.6997449337577262, ratio:0.15361194029850747
time:13.888955116271973, length:1.7836814450849046, ratio:0.21964179104477613
time:7.163196802139282, length:1.8090373488368792, ratio:0.22692537313432837
time:4.944906949996948, length:1.5580669016457305, ratio:0.21188059701492537
time:4.128695487976074, length:1.1537686876883428, ratio:0.16728358208955224
time:3.242523193359375, length:0.668746578506438, ratio:0.15325373134328357
time:3.3121631145477295, length:0.6816737989859385, ratio:0.15558208955223882
time:3.352997064590454, length:0.6800894109897416, ratio:0.15808955223880597
time:6.5793983936309814, length:1.5665824218650504, ratio:0.20423880597014926
time:2.9241349697113037, length:0.6770216729028306, ratio:0.14925373134328357
time:3.137399673461914, length:0.6788995673731214, ratio:0.15528358208955223
time:4.096959590911865, length:1.1418444814885127, ratio:0.16776119402985074
time:3.164867639541626, length:0.701195551024148, ratio:0.15217910447761193
time:4.393954515457153, length:1.0643903621528688, ratio:0.16608955223880598
time:9.22510313987732, length:1.377398585447167, ratio:0.17755223880597015
time:6.735669851303101, length:1.3912958933154937, ratio:0.1764776119402985
time:3.528759479522705, length:0.6692105751920404, ratio:0.15504477611940298
time:5.946916103363037, length:1.742115566914192, ratio:0.2191641791044776
time:2.662330389022827, length:0.6971129460982011, ratio:0.1497910447761194
time:5.900954961776733, length:1.4019627561614203, ratio:0.1880597014925373
time:10.023265838623047, length:3.737396725199454, ratio:0.35534328358208955
time:3.5747342109680176, length:0.7018738426500006, ratio:0.15265671641791045
time:4.777491092681885, length:1.3660221976593137, ratio:0.17492537313432835
time:4.3350441455841064, length:1.156319506467921, ratio:0.1755223880597015
time:5.496739625930786, length:1.5092455119473887, ratio:0.18788059701492538
time:6.478277683258057, length:2.022479990638341, ratio:0.20782089552238805
time:8.089766025543213, length:1.3889426653870607, ratio:0.18525373134328357
time:3.8586297035217285, length:1.1182136271470466, ratio:0.1631044776119403
time:4.345841884613037, length:1.153579444075835, ratio:0.176955223880597
time:5.038668155670166, length:1.3897094777894874, ratio:0.1808358208955224
time:3.8861682415008545, length:1.1541408427285145, ratio:0.16322388059701493
time:4.047022104263306, length:1.147270698162773, ratio:0.1613731343283582
time:3.4471564292907715, length:0.6678182783996167, ratio:0.15128358208955223
time:2.9176905155181885, length:0.6627158305916803, ratio:0.15844776119402984
time:6.1273744106292725, length:1.6250845607113664, ratio:0.19970149253731342
time:4.665048837661743, length:1.6070856546680228, ratio:0.19886567164179106
time:8.690287828445435, length:1.3674635188834146, ratio:0.17588059701492537
time:2.8972930908203125, length:0.7446060392083602, ratio:0.16011940298507463
time:4.52987265586853, length:1.1406563525300142, ratio:0.1761194029850746
time:2.8581125736236572, length:0.6999122891755925, ratio:0.1515223880597015
time:6.190922021865845, length:1.4924462832426904, ratio:0.1897910447761194
time:2.0723464488983154, length:0.27366085747307434, ratio:0.1435223880597015
time:4.038889169692993, length:1.1293318457270507, ratio:0.16435820895522388
time:5.744392156600952, length:1.7041912528446506, ratio:0.2186268656716418
time:3.9323785305023193, length:1.1110596269403668, ratio:0.1645373134328358
time:3.6062815189361572, length:0.6745183485828097, ratio:0.16107462686567164
time:7.212722301483154, length:1.5017761174334825, ratio:0.2044776119402985
time:5.9342567920684814, length:2.0399019920424775, ratio:0.2355223880597015
time:4.708555698394775, length:1.3534144270834005, ratio:0.17098507462686569
time:3.1527767181396484, length:0.6706061166231437, ratio:0.15486567164179105
time:5.434772968292236, length:1.3594629608518214, ratio:0.17361194029850746
time:4.76656699180603, length:1.592638834049752, ratio:0.19713432835820896
time:5.895923376083374, length:2.0403145780700456, ratio:0.2284776119402985
time:4.287708044052124, length:1.1239889566737782, ratio:0.16322388059701493
time:5.831584215164185, length:1.6147184850504712, ratio:0.2084776119402985
time:2.1032707691192627, length:0.27392925434973775, ratio:0.1387462686567164
time:5.847561359405518, length:1.3806054989292655, ratio:0.18137313432835822
time:6.164001941680908, length:1.35932410290227, ratio:0.17456716417910448
time:3.319873094558716, length:0.5244814562078735, ratio:0.15194029850746268
time:4.983668327331543, length:1.3836899433799255, ratio:0.18411940298507462
time:10.260018587112427, length:3.81257483736951, ratio:0.324
time:3.5685577392578125, length:0.6876902277959146, ratio:0.15450746268656718
time:2.518813371658325, length:0.2511130543858753, ratio:0.12871641791044777
time:4.344688415527344, length:1.1272465512831231, ratio:0.16722388059701493
time:4.292448282241821, length:1.120791404911109, ratio:0.17211940298507464
time:9.86653447151184, length:1.3822669364479394, ratio:0.18585074626865672
time:5.8547890186309814, length:1.48124056096819, ratio:0.19498507462686568
time:4.256893157958984, length:1.1260859334007831, ratio:0.16573134328358208
time:6.217493295669556, length:1.358325966671446, ratio:0.1777910447761194
time:4.392010688781738, length:1.1399019638270178, ratio:0.17211940298507464
time:5.738883972167969, length:1.6251331652670291, ratio:0.21976119402985075
time:13.924312114715576, length:1.6595760617728272, ratio:0.2128955223880597
time:4.769235610961914, length:1.5696769034324372, ratio:0.20961194029850747
time:4.731180191040039, length:1.5179079269397184, ratio:0.19050746268656715
time:5.6581196784973145, length:0.7014151932427224, ratio:0.1595820895522388
time:4.741552114486694, length:1.3524429690824122, ratio:0.1755820895522388
time:4.5774805545806885, length:1.1647488604766576, ratio:0.17761194029850746
time:5.849066972732544, length:1.348969947201619, ratio:0.17438805970149254
time:3.717297315597534, length:1.1367627014621062, ratio:0.16585074626865673
time:4.206244945526123, length:1.1161861122229668, ratio:0.1697910447761194
time:9.431580543518066, length:3.3242005160084114, ratio:0.3141492537313433
time:2.978935480117798, length:0.5974646244471068, ratio:0.14949253731343284
time:4.326185464859009, length:1.140591007073029, ratio:0.1751044776119403
time:4.380945205688477, length:1.1366383253258567, ratio:0.16853731343283582
time:4.682461500167847, length:1.5583739669712473, ratio:0.19802985074626867
time:5.154622316360474, length:1.449277737029817, ratio:0.18447761194029852
time:5.565845727920532, length:1.5918148034366961, ratio:0.20722388059701494
time:5.968442678451538, length:1.3635901878311907, ratio:0.18149253731343284
