time:5.3845202922821045, length:1.5478657449754347, ratio:0.18435820895522387
time:6.546517848968506, length:1.4402603950676593, ratio:0.19319402985074627
time:4.057935476303101, length:1.1872318630759842, ratio:0.1777910447761194
time:11.14776086807251, length:1.370323264579597, ratio:0.17683582089552238
time:3.3544065952301025, length:0.7375923542956562, ratio:0.1577313432835821
time:3.2005088329315186, length:0.6940743537435277, ratio:0.14865671641791045
time:8.753845930099487, length:1.3886772259318938, ratio:0.18686567164179105
time:3.5804805755615234, length:0.5425898196989709, ratio:0.1533731343283582
time:7.438989639282227, length:0.7072777268706999, ratio:0.1559402985074627
time:14.248311281204224, length:3.69611247605978, ratio:0.36280597014925375
time:4.971880674362183, length:1.3804385486037316, ratio:0.18286567164179104
time:7.824047565460205, length:1.9167146084665259, ratio:0.2546268656716418
time:4.2560882568359375, length:1.1448090074929156, ratio:0.18143283582089553
time:3.0325963497161865, length:0.6870765472080107, ratio:0.15223880597014924
time:2.468716859817505, length:0.2503050823331674, ratio:0.12608955223880597
time:13.852062702178955, length:3.585832117737704, ratio:0.33665671641791045
time:3.0193145275115967, length:0.6910427696889263, ratio:0.1568358208955224
time:5.053579092025757, length:1.3552619505651442, ratio:0.17994029850746268
time:4.5942816734313965, length:1.1332413553374632, ratio:0.17223880597014926
time:9.50166630744934, length:1.5103761533024715, ratio:0.19797014925373135
time:8.784352540969849, length:1.3870181539052782, ratio:0.18865671641791046
time:13.850517988204956, length:1.5665791446065034, ratio:0.20328358208955224
time:3.818070411682129, length:1.1352464666518207, ratio:0.15952238805970148
time:7.125861883163452, length:1.4012433922332859, ratio:0.18370149253731344
time:4.294594049453735, length:1.1127491985501352, ratio:0.17080597014925372
time:4.220341920852661, length:1.1154894444052776, ratio:0.17582089552238805
time:6.502676010131836, length:1.4902632394206135, ratio:0.19050746268656715
time:6.507922649383545, length:1.3825546918711746, ratio:0.18417910447761193
time:2.235720634460449, length:0.2628027440853794, ratio:0.13994029850746267
time:5.428118944168091, length:1.6064987765319259, ratio:0.20728358208955225
time:12.609526872634888, length:2.148662103575588, ratio:0.24280597014925373
time:4.058619022369385, length:1.139958384224074, ratio:0.16149253731343283
time:9.281532287597656, length:1.3693608493566969, ratio:0.1792238805970149
time:6.593241930007935, length:1.3612872053751448, ratio:0.18059701492537314
time:4.24929141998291, length:1.1190305551181967, ratio:0.17313432835820897
time:4.584439516067505, length:1.1221829692571115, ratio:0.18017910447761193
time:5.44323468208313, length:1.5835504561749891, ratio:0.2084776119402985
time:4.4580700397491455, length:1.1423097070350532, ratio:0.1755223880597015
time:5.310972690582275, length:1.5892215732129535, ratio:0.2044179104477612
time:6.4639012813568115, length:1.3792355423439457, ratio:0.18823880597014925
time:4.047296762466431, length:1.1379223959161286, ratio:0.1706865671641791
time:2.3984792232513428, length:0.2875177094948734, ratio:0.1413731343283582
time:4.540990591049194, length:1.1268436768325054, ratio:0.17576119402985074
time:6.266787052154541, length:2.039440472182811, ratio:0.22871641791044775
time:4.0275719165802, length:1.152039701155681, ratio:0.17277611940298507
time:4.227977752685547, length:1.150380338952273, ratio:0.18394029850746269
time:2.088160514831543, length:0.2729099455444824, ratio:0.1404179104477612
time:5.773491382598877, length:2.048226824039287, ratio:0.21182089552238806
time:5.3948657512664795, length:1.3635514628084637, ratio:0.17301492537313432
